Histogram (CPU):
0.099010 14714341 
0.297030 12070200 
0.495050 9905446 
0.693069 8125948 
0.891089 6665068 
1.089109 5470793 
1.287129 4486160 
1.485149 3678474 
1.683168 3018884 
1.881188 2475800 
2.079208 2032938 
2.277228 1666160 
2.475248 1367625 
2.673267 1121420 
2.871287 920293 
3.069307 755537 
3.267327 619747 
3.465347 506974 
3.663366 415476 
3.861386 342598 
4.059406 280998 
4.257426 230649 
4.455446 188205 
4.653465 154240 
4.851485 126261 
5.049505 104778 
5.247525 85391 
5.445545 69982 
5.643564 57500 
5.841584 47167 
6.039604 38489 
6.237624 31586 
6.435644 26050 
6.633663 21227 
6.831683 17313 
7.029703 14385 
7.227723 11870 
7.425743 9786 
7.623763 7873 
7.821782 6424 
8.019802 5355 
8.217822 4477 
8.415842 3550 
8.613861 2964 
8.811881 2443 
9.009901 2017 
9.207921 1649 
9.405941 1266 
9.603960 1105 
9.801980 901 
10.000000 720 
10.198020 610 
10.396040 554 
10.594059 405 
10.792079 376 
10.990099 288 
11.188119 239 
11.386139 190 
11.584159 153 
11.782178 126 
11.980198 96 
12.178218 83 
12.376238 58 
12.574258 60 
12.772277 58 
12.970297 29 
13.168317 29 
13.366337 18 
13.564357 19 
13.762376 22 
13.960396 15 
14.158416 19 
14.356436 8 
14.554456 8 
14.752476 6 
14.950495 3 
15.148515 6 
15.346535 4 
15.544555 0 
15.742575 0 
15.940594 2 
16.138615 2 
16.336634 1 
16.534653 0 
16.732674 3 
16.930693 3 
17.128714 1 
17.326733 1 
17.524752 0 
17.722773 1 
17.920792 1 
18.118813 0 
18.316832 0 
18.514851 0 
18.712872 0 
18.910891 0 
19.108912 0 
19.306931 0 
19.504951 0 
19.702971 0 
19.900990 0 
